image_id,experiment,n_cells,fg_fraction
B02_s1_w1.png,HEPG2-01,832,0.4559440612792969
B02_s2_w1.png,HEPG2-01,834,0.4338874816894531
B03_s1_w1.png,HEPG2-01,387,0.3328399658203125
B03_s2_w1.png,HEPG2-01,286,0.2881813049316406
B04_s1_w1.png,HEPG2-01,377,0.33272552490234375
B04_s2_w1.png,HEPG2-01,287,0.282257080078125
B05_s1_w1.png,HEPG2-01,335,0.3097419738769531
B05_s2_w1.png,HEPG2-01,681,0.4703788757324219
B06_s1_w1.png,HEPG2-01,532,0.416259765625
B06_s2_w1.png,HEPG2-01,399,0.36463165283203125
B07_s1_w1.png,HEPG2-01,495,0.39670562744140625
B07_s2_w1.png,HEPG2-01,252,0.24631881713867188
B08_s1_w1.png,HEPG2-01,675,0.4194297790527344
B08_s2_w1.png,HEPG2-01,537,0.37235260009765625
B09_s1_w1.png,HEPG2-01,172,0.2086639404296875
B09_s2_w1.png,HEPG2-01,191,0.22705078125
B10_s1_w1.png,HEPG2-01,373,0.337646484375
B10_s2_w1.png,HEPG2-01,625,0.3906402587890625
B11_s1_w1.png,HEPG2-01,339,0.262603759765625
B11_s2_w1.png,HEPG2-01,374,0.2867584228515625
B12_s1_w1.png,HEPG2-01,546,0.39652252197265625
B12_s2_w1.png,HEPG2-01,441,0.3628425598144531
B13_s1_w1.png,HEPG2-01,364,0.3184051513671875
B13_s2_w1.png,HEPG2-01,605,0.4226417541503906
B14_s1_w1.png,HEPG2-01,504,0.36754608154296875
B14_s2_w1.png,HEPG2-01,492,0.3619194030761719
B15_s1_w1.png,HEPG2-01,342,0.32370758056640625
B15_s2_w1.png,HEPG2-01,346,0.32337188720703125
B16_s1_w1.png,HEPG2-01,420,0.3383064270019531
B16_s2_w1.png,HEPG2-01,263,0.2565956115722656
B17_s1_w1.png,HEPG2-01,569,0.395721435546875
B17_s2_w1.png,HEPG2-01,539,0.3851356506347656
B18_s1_w1.png,HEPG2-01,342,0.322784423828125
B18_s2_w1.png,HEPG2-01,440,0.3592071533203125
B19_s1_w1.png,HEPG2-01,484,0.3662872314453125
B19_s2_w1.png,HEPG2-01,648,0.4122886657714844
B20_s1_w1.png,HEPG2-01,571,0.37163543701171875
B20_s2_w1.png,HEPG2-01,534,0.3538970947265625
B21_s1_w1.png,HEPG2-01,297,0.24170684814453125
B21_s2_w1.png,HEPG2-01,286,0.23554611206054688
B22_s1_w1.png,HEPG2-01,350,0.2915306091308594
B22_s2_w1.png,HEPG2-01,588,0.40212249755859375
B23_s1_w1.png,HEPG2-01,315,0.2695732116699219
B23_s2_w1.png,HEPG2-01,535,0.33147430419921875
C02_s1_w1.png,HEPG2-01,207,0.22679901123046875
C02_s2_w1.png,HEPG2-01,166,0.19279861450195312
C03_s1_w1.png,HEPG2-01,667,0.4071693420410156
C03_s2_w1.png,HEPG2-01,464,0.35935211181640625
C04_s1_w1.png,HEPG2-01,186,0.21345901489257812
C04_s2_w1.png,HEPG2-01,270,0.24950027465820312
C05_s1_w1.png,HEPG2-01,399,0.3622627258300781
C05_s2_w1.png,HEPG2-01,246,0.2570457458496094
C06_s1_w1.png,HEPG2-01,223,0.2244873046875
C06_s2_w1.png,HEPG2-01,153,0.17575454711914062
C07_s1_w1.png,HEPG2-01,259,0.24940109252929688
C07_s2_w1.png,HEPG2-01,178,0.20331192016601562
C08_s1_w1.png,HEPG2-01,337,0.2977104187011719
C08_s2_w1.png,HEPG2-01,667,0.420562744140625
C09_s1_w1.png,HEPG2-01,332,0.3401298522949219
C09_s2_w1.png,HEPG2-01,235,0.259552001953125
C10_s1_w1.png,HEPG2-01,385,0.3505287170410156
C10_s2_w1.png,HEPG2-01,544,0.4013824462890625
C11_s1_w1.png,HEPG2-01,147,0.1793365478515625
C11_s2_w1.png,HEPG2-01,151,0.17700958251953125
C12_s1_w1.png,HEPG2-01,98,0.1385040283203125
C12_s2_w1.png,HEPG2-01,443,0.3212699890136719
C13_s1_w1.png,HEPG2-01,290,0.3037528991699219
C13_s2_w1.png,HEPG2-01,210,0.23984146118164062
C14_s1_w1.png,HEPG2-01,598,0.4174613952636719
C14_s2_w1.png,HEPG2-01,249,0.2631263732910156
C15_s1_w1.png,HEPG2-01,719,0.4894256591796875
C15_s2_w1.png,HEPG2-01,768,0.4108009338378906
C16_s1_w1.png,HEPG2-01,377,0.3540191650390625
C16_s2_w1.png,HEPG2-01,343,0.320587158203125
C17_s1_w1.png,HEPG2-01,451,0.33260345458984375
C17_s2_w1.png,HEPG2-01,259,0.25251007080078125
C18_s1_w1.png,HEPG2-01,457,0.299285888671875
C18_s2_w1.png,HEPG2-01,511,0.338531494140625
C19_s1_w1.png,HEPG2-01,705,0.4405326843261719
C19_s2_w1.png,HEPG2-01,411,0.365966796875
C20_s1_w1.png,HEPG2-01,407,0.30879974365234375
C20_s2_w1.png,HEPG2-01,590,0.3814735412597656
